0.0_acc_best,0.0_acc_final,0.0_loss_best,0.0_loss_final,0.1_acc_best,0.1_acc_final,0.1_loss_best,0.1_loss_final,0.2_acc_best,0.2_acc_final,0.2_loss_best,0.2_loss_final,0.3_acc_best,0.3_acc_final,0.3_loss_best,0.3_loss_final,0.4_acc_best,0.4_acc_final,0.4_loss_best,0.4_loss_final,0.5_acc_best,0.5_acc_final,0.5_loss_best,0.5_loss_final,0.6_acc_best,0.6_acc_final,0.6_loss_best,0.6_loss_final,0.7_acc_best,0.7_acc_final,0.7_loss_best,0.7_loss_final,0.8_acc_best,0.8_acc_final,0.8_loss_best,0.8_loss_final,0.9_acc_best,0.9_acc_final,0.9_loss_best,0.9_loss_final,1.0_acc_best,1.0_acc_final,1.0_loss_best,1.0_loss_final,algorithm,args_id,seed,exp_name,train_envs,train_env_sizes,n_train_domains,sample_size_per_domain,imbalance_type,phase,avg_domain_acc_best,worst_domain_acc_best,best_domain_acc_best,avg_domain_acc_final,worst_domain_acc_final,best_domain_acc_final,arg_algorithm,arg_alpha,arg_batch_size,arg_data_dir,arg_deterministic,arg_dropout_p,arg_erm_pretrain_iters,arg_eval_freq,arg_exp_name,arg_full_resolution,arg_groupdro_eta,arg_loss_fn,arg_lr,arg_lr_cos_sched,arg_lr_factor_reduction,arg_mlp_hidden_dim,arg_n_workers,arg_network,arg_other_arg,arg_output_dir,arg_penalty_weight,arg_save_ckpts,arg_steps,arg_test_env_ms,arg_test_envs,arg_train_env_ps,arg_train_env_size_mode,arg_train_env_sizes,arg_train_env_sizes_parsed,arg_train_envs,arg_weight_decay
0.7256,0.7311,0.7506987452507019,0.8604483306407928,0.7086,0.7116,0.8055031001567841,0.940302699804306,0.6933,0.6946,0.8700788021087646,1.0292000770568848,0.6857,0.6802,0.880303293466568,1.0530644059181213,0.6682,0.665,0.9324023425579071,1.1218956112861633,0.6438,0.638,1.0374919772148132,1.2644405364990234,0.6332,0.6223,1.0637073516845703,1.309942364692688,0.6211,0.6101,1.1189926862716675,1.391028881072998,0.6062,0.5927,1.1617502570152283,1.449929118156433,0.5968,0.5809,1.2026515007019043,1.5108168721199036,0.5772,0.5604,1.251896619796753,1.5773921012878418,groupdro,e3dd2150b41346c4e66b53755c1dbad4,1,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.6508818181818182,0.5772,0.7256,0.6442636363636364,0.5604,0.7311,groupdro,0.4,25000,../data,True,0.2,400,50,e2_sample_size_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,1000,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
0.67,0.6734,0.6472376883029938,0.6446655988693237,0.6749,0.6772,0.6445830464363098,0.6422525644302368,0.6788,0.6807,0.6432850956916809,0.6411233842372894,0.6697,0.6723,0.6331950426101685,0.6310860812664032,0.6718,0.6731,0.6290580928325653,0.627528965473175,0.6825,0.6847,0.6190784573554993,0.6179279088973999,0.6837,0.6842,0.6176442205905914,0.6172572374343872,0.6873,0.6879,0.6162514388561249,0.6166433990001678,0.6816,0.6814,0.6157947778701782,0.6169497668743134,0.7023,0.7002,0.601780116558075,0.6032299101352692,0.7025,0.7005,0.601628988981247,0.6037146747112274,iro,aee9a6c869c5d2e09a8e7c16a68e09aa,1,e3_imbalance_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 8000]",4,,last_domain_heavy_mild,imbalance,0.6822818181818181,0.6697,0.7025,0.6832363636363635,0.6723,0.7005,iro,0.4,25000,../data,True,0.2,400,50,e3_imbalance_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,8000","[2000, 2000, 2000, 8000]","0.01,0.12,0.5,0.99",0
0.6748,0.6748,0.64291051030159,0.64291051030159,0.678,0.678,0.6425873339176178,0.6425873935222626,0.6844,0.6844,0.6388415396213531,0.6388415396213531,0.6719,0.6719,0.6305340230464935,0.6305340528488159,0.6684,0.6684,0.6279404163360596,0.6279403865337372,0.6775,0.6775,0.6220321357250214,0.6220321357250214,0.686,0.686,0.6166199445724487,0.6166199445724487,0.68,0.68,0.6185364723205566,0.6185364723205566,0.688,0.688,0.6171305775642395,0.6171305179595947,0.7015,0.7015,0.6031264960765839,0.6031264960765839,0.6965,0.6965,0.6067399680614471,0.6067399680614471,inftask,0377e3039303ff4a0b6e9c64a360782a,1,e3_imbalance_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 8000]",4,,last_domain_heavy_mild,imbalance,0.6824545454545454,0.6684,0.7015,0.6824545454545454,0.6684,0.7015,inftask,0.4,25000,../data,True,0.2,400,50,e3_imbalance_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,True,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,8000","[2000, 2000, 2000, 8000]","0.01,0.12,0.5,0.99",0
0.125,0.4765,0.9796282052993774,1.5397688150405884,0.2087,0.515,0.9209021031856537,1.4164962768554688,0.2971,0.5425,0.8626279234886169,1.3146954774856567,0.3729,0.5665,0.8087891340255737,1.2507149577140808,0.4561,0.6042,0.7509015500545502,1.1340722441673279,0.5401,0.6354,0.6953187882900238,1.0295698642730713,0.6227,0.6711,0.6395296156406403,0.9150782525539398,0.7082,0.6976,0.5775369703769684,0.8111609518527985,0.7946,0.7344,0.5218007266521454,0.7160524725914001,0.8797,0.7672,0.46172547340393066,0.5983774065971375,0.9555,0.7887,0.41111768782138824,0.5226774513721466,erm,f6ac59cf711f6f49696c87a9137251bc,1,e3_imbalance_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 8000]",4,,last_domain_heavy_mild,imbalance,0.5418727272727273,0.125,0.9555,0.6362818181818182,0.4765,0.7887,erm,0.4,25000,../data,True,0.2,0,50,e3_imbalance_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed1,1000,False,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,8000","[2000, 2000, 2000, 8000]","0.01,0.12,0.5,0.99",0
0.6679,0.6693,0.6614530384540558,0.6598652899265289,0.6581,0.6597,0.6639541387557983,0.6624243855476379,0.6687,0.6693,0.6632692217826843,0.661640465259552,0.6852,0.6856,0.6429689228534698,0.6404995024204254,0.6767,0.6769,0.6451196670532227,0.6428655385971069,0.6751,0.6742,0.6460469365119934,0.6439297199249268,0.6724,0.6715,0.6458209455013275,0.6438347101211548,0.6756,0.6756,0.6456283032894135,0.643609493970871,0.6785,0.6783,0.6456472873687744,0.6437395811080933,0.6718,0.6715,0.6478495895862579,0.6461779177188873,0.67,0.6695,0.6479522287845612,0.6463068425655365,iro,4f8ba8c67856080c71183a90cbc3b455,2,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.6727272727272727,0.6581,0.6852,0.6728545454545455,0.6597,0.6856,iro,0.4,25000,../data,True,0.2,400,50,e0_repro_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,True,600,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.7243,0.726,0.5859841406345367,0.5912959575653076,0.7158,0.7166,0.5991575121879578,0.6135563552379608,0.7179,0.7112,0.6089873611927032,0.629346489906311,0.714,0.7045,0.6146767735481262,0.6418074071407318,0.7085,0.6957,0.6239031255245209,0.6611798107624054,0.7193,0.7014,0.6163381636142731,0.6597509384155273,0.7046,0.684,0.6380538046360016,0.6875851154327393,0.702,0.6784,0.6348353624343872,0.6927448213100433,0.6987,0.6704,0.6555405855178833,0.7242181301116943,0.6926,0.6607,0.6614171862602234,0.7394625544548035,0.6872,0.6528,0.6679975092411041,0.7526728808879852,groupdro,22cdaa3bc7e46835330a3d2597dd7358,2,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.7077181818181818,0.6872,0.7243,0.6910636363636363,0.6528,0.726,groupdro,0.4,25000,../data,True,0.2,400,50,e0_repro_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,True,1000,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.7629,0.7541,0.47424831986427307,0.5191221237182617,0.7489,0.7404,0.5027876794338226,0.5585113167762756,0.7472,0.7312,0.5243763625621796,0.5793617367744446,0.7371,0.7191,0.5466019511222839,0.6058088541030884,0.714,0.6901,0.5876253545284271,0.6585183441638947,0.7155,0.6905,0.6049914658069611,0.6753705739974976,0.7014,0.6708,0.6358401477336884,0.713958352804184,0.6972,0.6601,0.659009724855423,0.7365251779556274,0.6897,0.6466,0.6808502078056335,0.7676518559455872,0.6686,0.6259,0.71664759516716,0.811187207698822,0.6614,0.6113,0.7431124746799469,0.8431124091148376,erm,4c6f12dc6539a5056273eab78bc2ef40,2,e0_repro_small,"[0.1, 0.2, 0.5, 0.9]",,4,,,reproduction,0.7130818181818182,0.6614,0.7629,0.6854636363636364,0.6113,0.7541,erm,0.4,25000,../data,True,0.2,0,50,e0_repro_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,False,600,0.9,"0.1,0.5,0.9","[0.1, 0.2, 0.5, 0.9]",random,,,"0.1,0.2,0.5,0.9",0
0.9622,0.9622,0.14522784948349,0.1452278345823288,0.8757,0.8757,0.31960463523864746,0.31960463523864746,0.788,0.788,0.4995843172073364,0.49958430230617523,0.7089,0.7089,0.6499411761760712,0.6499411761760712,0.6149,0.6149,0.8234463036060333,0.8234463334083557,0.5341,0.5341,1.0022954940795898,1.002295434474945,0.451,0.451,1.1873865127563477,1.187386393547058,0.3656,0.3656,1.3376088738441467,1.3376089334487915,0.2785,0.2785,1.519887387752533,1.5198873281478882,0.2026,0.2026,1.6934100985527039,1.6934100985527039,0.1123,0.1123,1.853026032447815,1.8530259132385254,erm,4885f02077db08aaf7060cc1cf7ddf1c,2,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5358,0.1123,0.9622,0.5358,0.1123,0.9622,erm,0.4,25000,../data,True,0.2,0,50,e1_domain_count_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,False,600,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.9995,0.9995,0.269015371799469,0.269015371799469,0.8991,0.8991,0.37381550669670105,0.37381550669670105,0.7925,0.7925,0.4884621948003769,0.4884622097015381,0.7051,0.7051,0.5921030342578888,0.5921030044555664,0.5996,0.5996,0.7288247644901276,0.72882479429245,0.4983,0.4983,0.8614673316478729,0.8614673614501953,0.3997,0.3997,0.9995923340320587,0.9995923340320587,0.3002,0.3002,1.1299386024475098,1.129938542842865,0.2062,0.2062,1.25114107131958,1.2511411309242249,0.1121,0.1121,1.3823105692863464,1.3823105692863464,0.009,0.009,1.5181480050086975,1.5181480050086975,iro,ea9119e29f93c5acbd9107da1721fa74,2,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5019363636363637,0.009,0.9995,0.5019363636363637,0.009,0.9995,iro,0.4,25000,../data,True,0.2,400,50,e1_domain_count_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,True,600,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.9219,0.9253,0.19224973022937775,0.18904369324445724,0.8495,0.8515,0.35970573127269745,0.3642423450946808,0.7851,0.7851,0.5280060470104218,0.5407299697399139,0.7198,0.7191,0.6549717485904694,0.6737196147441864,0.6359,0.6339,0.8392293155193329,0.8672037720680237,0.5693,0.5669,0.9967018067836761,1.0318055152893066,0.4948,0.4909,1.1643351316452026,1.2067790627479553,0.4255,0.4193,1.3221429586410522,1.3733647465705872,0.3564,0.3503,1.4791970252990723,1.5372913479804993,0.284,0.2777,1.6490405797958374,1.715897798538208,0.2118,0.2053,1.7989922165870667,1.8727717399597168,groupdro,69028c5beac233b327885e985a190e3f,2,e1_domain_count_small,"[0.1, 0.2]",,2,,,domain_count,0.5685454545454545,0.2118,0.9219,0.5659363636363636,0.2053,0.9253,groupdro,0.4,25000,../data,True,0.2,400,50,e1_domain_count_small,False,0.1,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,True,1000,0.9,"0.1,0.5,0.9","[0.1, 0.2]",random,,,"0.1,0.2",0
0.7613,0.7311,0.5041227787733078,0.8227313756942749,0.7533,0.718,0.5166235566139221,0.8784940838813782,0.7399,0.7065,0.550069272518158,0.9269718825817108,0.7155,0.6807,0.58977872133255,1.0198912918567657,0.7029,0.6633,0.6187969446182251,1.0855669975280762,0.6777,0.6358,0.6659083068370819,1.1990179419517517,0.6667,0.6198,0.6933819353580475,1.2726884484291077,0.6434,0.6051,0.7314156591892242,1.3231390118598938,0.6273,0.5881,0.7649674117565155,1.4097363948822021,0.6063,0.5649,0.7991622686386108,1.484220027923584,0.6024,0.5611,0.8095162510871887,1.5034198760986328,erm,8f3473b0089567891a646e605dd1e747,2,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.6815181818181818,0.6024,0.7613,0.6431272727272727,0.5611,0.7311,erm,0.4,25000,../data,True,0.2,0,50,e2_sample_size_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,False,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
0.7077,0.7077,0.6124490201473236,0.6124490201473236,0.7011,0.7011,0.6151007115840912,0.6151007115840912,0.6971,0.6971,0.6195909380912781,0.6195909678936005,0.6889,0.6889,0.6118505299091339,0.6118505597114563,0.6853,0.6853,0.6189722120761871,0.6189721524715424,0.6765,0.6765,0.6286781132221222,0.6286780834197998,0.6762,0.6762,0.6243435442447662,0.6243435144424438,0.6639,0.6639,0.6403045654296875,0.6403045654296875,0.6609,0.6609,0.6440442204475403,0.6440442204475403,0.6568,0.6568,0.6457259356975555,0.6457259058952332,0.6552,0.6552,0.6475768387317657,0.6475768685340881,iro,90565dbd7c6af9d92310666019dc4e0b,2,e2_sample_size_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 2000]",4,2000.0,balanced,sample_size,0.6790545454545454,0.6552,0.7077,0.6790545454545454,0.6552,0.7077,iro,0.4,25000,../data,True,0.2,400,50,e2_sample_size_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,True,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,2000","[2000, 2000, 2000, 2000]","0.01,0.12,0.5,0.99",0
0.6853,0.6853,0.6413342952728271,0.6413342952728271,0.6918,0.6918,0.6381721496582031,0.6381720900535583,0.6895,0.6895,0.6390657424926758,0.6390657424926758,0.681,0.681,0.6284807920455933,0.6284807920455933,0.6838,0.6838,0.6260574460029602,0.6260574162006378,0.678,0.678,0.6242124736309052,0.6242124736309052,0.6787,0.6787,0.6246315240859985,0.6246315538883209,0.6763,0.6763,0.6226894855499268,0.6226894557476044,0.6819,0.6819,0.6174292266368866,0.6174292862415314,0.6784,0.6784,0.6177471578121185,0.6177471578121185,0.6835,0.6835,0.612465500831604,0.612465500831604,inftask,f98e9fa1ac1ded9cab4979f26931004b,2,e3_imbalance_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 8000]",4,,last_domain_heavy_mild,imbalance,0.6825636363636364,0.6763,0.6918,0.6825636363636364,0.6763,0.6918,inftask,0.4,25000,../data,True,0.2,400,50,e3_imbalance_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,True,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,8000","[2000, 2000, 2000, 8000]","0.01,0.12,0.5,0.99",0
0.1476,0.477,1.0090060234069824,1.5304152965545654,0.2347,0.5183,0.9352257549762726,1.4144445061683655,0.3063,0.5496,0.8784325420856476,1.2948930263519287,0.3863,0.572,0.81856769323349,1.2038042545318604,0.4607,0.6046,0.7680925726890564,1.112076461315155,0.5428,0.632,0.7001067399978638,1.024851679801941,0.6324,0.6676,0.6320924162864685,0.9111723601818085,0.7085,0.6996,0.5723239481449127,0.8062341511249542,0.7897,0.7263,0.5128732621669769,0.7103664875030518,0.8706,0.7581,0.45001597702503204,0.5985887050628662,0.9468,0.8054,0.38935069739818573,0.47720977663993835,erm,5d7a26299e353a683fb7b497d28a426f,2,e3_imbalance_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 8000]",4,,last_domain_heavy_mild,imbalance,0.5478545454545455,0.1476,0.9468,0.6373181818181818,0.477,0.8054,erm,0.4,25000,../data,True,0.2,0,50,e3_imbalance_small,False,1.0,nll,0.0001,False,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,False,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,8000","[2000, 2000, 2000, 8000]","0.01,0.12,0.5,0.99",0
0.6844,0.6844,0.6401835680007935,0.6401835381984711,0.6857,0.6857,0.637555330991745,0.637555330991745,0.6891,0.6891,0.6356972754001617,0.6356972455978394,0.6775,0.6775,0.6275654733181,0.6275655031204224,0.6794,0.6794,0.6278212070465088,0.6278211772441864,0.6795,0.6795,0.6271141767501831,0.6271141469478607,0.6871,0.6871,0.6168828904628754,0.6168828904628754,0.6799,0.6799,0.6233096718788147,0.6233096718788147,0.6793,0.6793,0.6210660040378571,0.6210659742355347,0.6867,0.6867,0.6150527596473694,0.6150527894496918,0.6875,0.6875,0.6117256283760071,0.6117256581783295,iro,4c5debd82f686a58a8ec98bfb87acc40,2,e3_imbalance_small,"[0.01, 0.12, 0.5, 0.99]","[2000, 2000, 2000, 8000]",4,,last_domain_heavy_mild,imbalance,0.6832818181818182,0.6775,0.6891,0.6832818181818182,0.6775,0.6891,iro,0.4,25000,../data,True,0.2,400,50,e3_imbalance_small,False,1.0,nll,0.0001,True,1,390,0,FiLMedMLP,default,../cmnist_exp_small_seed2,1000,True,600,0.9,"0.1,0.5,0.9","[0.01, 0.12, 0.5, 0.99]",random,"2000,2000,2000,8000","[2000, 2000, 2000, 8000]","0.01,0.12,0.5,0.99",0
